axis_ratio,filename,largest_ratio,max_edge_ratio,status,thick_faces,thick_largest,thick_max_edge,thick_vertices,thin_faces,thin_largest,thin_max_edge,thin_vertices
49933.4048,short-sleeve-panel-tee-3d-garment-model.glb,27062.1113,350741.3051,suspicious,2088568,1610552.5000,904523.0572,1057697,907132,59.5132,2.5789,526991
37261.2915,short-sleeve-polo-shirt-3d-model.glb,17542.6198,262699.6242,suspicious,2658468,1145285.1250,671665.6784,1363413,1155576,65.2859,2.5568,670652
1.0100,skirt-3d-model-01-3ec6b0ef.glb,1.0065,1.0088,ok,111508,3.6942,0.0744,55782,53752,3.6704,0.0737,27885
1.0118,skirt-3d-model-02-aaba44ab.glb,1.0022,1.9004,ok,126196,6.2147,0.2974,65144,50483,6.2012,0.1565,32038
1.0104,skirt-3d-model-03-ad8ae3cf.glb,1.0012,1.0031,ok,312328,11.1872,0.1085,158674,133496,11.1740,0.1082,78495
1.0075,skirt-3d-model-04-42f5d08c.glb,1.0004,1.0710,ok,516920,7.1500,0.0815,258536,256466,7.1468,0.0761,129239
1.0114,skirt-3d-model-05-236524d6.glb,1.0009,1.0072,ok,41416,4.1698,0.2075,20750,18762,4.1659,0.2060,10375
1.0098,skirt-3d-model-06-e88074c7.glb,1.0066,1.6343,ok,106904,4.5634,0.2783,53504,51186,4.5335,0.1703,26747
1.0113,t-shirt-mockup-3d-model-01-aa09ae0d.glb,1.0021,1.0074,ok,14616,6.9895,0.2995,7322,6876,6.9746,0.2973,3661
4830.2223,tie-neck-womens-blouse-3d-model.glb,4830.2223,496399.7522,suspicious,350280,558762.6250,558762.6211,175342,160977,115.6805,1.1256,87666
5.3394,top-3d-model-01-fb5cebc0.glb,2.6047,126.1830,suspicious,324680,17.3049,16.9013,162574,155212,6.6438,0.1339,81204
1.0108,top-3d-model-02-cd9d7a5c.glb,1.0041,1.0095,ok,18856,3.6578,0.1918,9446,8702,3.6429,0.1900,4723
1.8625,top-3d-model-03-571971b8.glb,1.5045,15.5669,suspicious,5404,5.2005,5.6252,2738,2132,3.4568,0.3614,1369
1.0104,top-3d-model-04-1d358912.glb,1.0037,1.0027,ok,37640,3.7262,0.1867,18876,16380,3.7123,0.1862,9438
1.2737,top-3d-model-05-668987f2.glb,1.0023,9.4164,ok,17804,9.2166,2.5813,9042,6882,9.1954,0.2741,4521
1.0121,top-3d-model-06-157dceff.glb,1.0027,4.3288,ok,213936,10.5360,0.3489,107164,102276,10.5076,0.0806,53576
7.2008,underwear-3d-model-01-88d0a731.glb,7.1177,70.4467,suspicious,26364,21.7260,11.2708,13204,11549,3.0524,0.1600,6602
1.0147,underwear-3d-model-02-1db039ca.glb,1.0016,1.0626,ok,36324,6.9109,0.1687,18214,15534,6.9000,0.1588,9099
1.5646,underwear-3d-model-03-d6d81002.glb,1.0015,41.6528,suspicious,30612,7.0525,3.4687,15430,12644,7.0418,0.0833,7715
1.0150,underwear-3d-model-04-5a17d35d.glb,1.0024,1.0041,ok,12948,4.8954,0.2602,6558,5002,4.8838,0.2591,3279
1.0114,underwear-3d-model-05-8fb7d42c.glb,1.0015,1.0271,ok,7220,3.6527,0.1531,3648,2834,3.6471,0.1490,1818
1.0148,underwear-3d-model-06-eab3de05.glb,1.0045,1.0121,ok,9896,5.1318,0.3429,4956,4552,5.1087,0.3388,2478
